cell_id,nadh_amp1,Lifetime fit_nadh: t1,nadh_offset,nadh_amp2,Lifetime fit_nadh: t2,Lifetime fit_nadh: a1,Lifetime fit_nadh: tm,Lifetime fit free_nadh: G(1st),Lifetime fit free_nadh: S(1st),Lifetime fit free_nadh: Tau_phase,Lifetime fit free_nadh: Tau_m,Lifetime fit free_nadh: G(2nd),Lifetime fit free_nadh: S(2nd),nadh_centroid_x,nadh_centroid_y,Intensity morphology_nadh: area,Intensity morphology_nadh: perimeter,Intensity morphology_nadh: solidity,Intensity morphology_nadh: eccentricity,Intensity morphology_nadh: circularity,Intensity texture_nadh: intensity_sum,Intensity texture_nadh: granularity_1,Intensity texture_nadh: granularity_3,Intensity texture_nadh: granularity_5,Intensity texture_nadh: granularity_7,Intensity texture_nadh: radial_distribution_ring1,Intensity texture_nadh: radial_distribution_ring2,Intensity texture_nadh: radial_distribution_ring3,Intensity texture_nadh: radial_distribution_ring4,Intensity texture_nadh: mass_displacement,fad_amp1,Lifetime fit_fad: t1,fad_offset,fad_amp2,Lifetime fit_fad: t2,Lifetime fit_fad: a1,Lifetime fit_fad: tm,Lifetime fit free_fad: G(1st),Lifetime fit free_fad: S(1st),Lifetime fit free_fad: Tau_phase,Lifetime fit free_fad: Tau_m,Lifetime fit free_fad: G(2nd),Lifetime fit free_fad: S(2nd),Intensity texture_fad: intensity_sum,Intensity texture_fad: granularity_1,Intensity texture_fad: granularity_3,Intensity texture_fad: granularity_5,Intensity texture_fad: granularity_7,Intensity texture_fad: radial_distribution_ring1,Intensity texture_fad: radial_distribution_ring2,Intensity texture_fad: radial_distribution_ring3,Intensity texture_fad: radial_distribution_ring4,Intensity texture_fad: mass_displacement,image_name,cell_line,treatment,dish
MCF7_Cyanide_dish1_1_1,3807.985513641062,423.2434184,73.39793298,1260.8121904719587,2263.0461280285112,75.12601085955973,880.8757446259864,0.6464163906638175,0.40997039,1.2617411731967407,1.672415856243422,0.4385699602524899,0.3557981442867759,155.73282442748092,4.259541984732825,131,50.76345597,0.8136645962732919,0.7604144433143728,0.638820431,130147,24.476169254765765,53.93747070620145,60.015981928127424,100,0.1016235487564062,0.4672716236255926,0.3774962158174986,0.053608612,0.2328117469577332,249.4706606,147.04162800067363,5.380063883,101.2671765883716,2086.0586677528945,71.12738750879186,706.8865040268278,0.5642014536858302,0.4488282223259947,1.582618001860624,1.9122696702711448,0.3443477991716416,0.3218223686859424,7552,38.53283898305085,66.84322033898306,76.64194915254238,100,0.087261653,0.4074417372881356,0.4585540254237288,0.046742585,0.9383351785862596,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_3,3043.0881108171543,396.9833421,74.69522991732092,1109.9535276261388,2099.565077550976,73.27372022106215,852.0201002042218,0.6414516427883318,0.4103469386100303,1.2726747291994158,1.6934762676269797,0.4350380738245362,0.3551014148276065,71.23684210526316,6.991228070175438,114,50.17766952966369,0.7916666666666666,0.830488687,0.5689757297825087,107043,19.624823668992835,58.90997075941444,100,100,0.1543678708556374,0.4399914053230944,0.3195725082443504,0.086068216,0.7479819087157542,307.0353015953167,170.31668503711904,7.148121518307793,132.79100817538264,1834.1399577591008,69.80830722823008,672.6530958025475,0.6171282939203314,0.4294522065258189,1.384425292189107,1.7446415544336908,0.3869962568435214,0.3478242491065649,9218,33.26101107,76.58928184,100,100,0.148513777,0.5034714688652636,0.3037535257105663,0.044261228,1.6796153360053263,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_4,6924.375665802068,413.34971350605264,144.22749351328258,2731.4846033294684,2268.639126409313,71.71163907516713,938.1806788,0.6251455464996885,0.4237650297316594,1.3485719359457835,1.726580844600241,0.4121272661247708,0.3553750028044007,139.84297520661158,6.132231404958677,242,64.24873734152916,0.8705035971223022,0.775557338,0.7367091025731695,262532,13.741562933280516,36.83131961056176,57.23073759,73.57122179391465,0.077986684,0.305357061,0.4690171102951259,0.1476391449423308,0.8482847839500821,673.9246953998261,176.61211844507642,15.869285407865696,273.0360120069424,2030.6654824154664,71.16712342,711.1890365653785,0.5808664562858177,0.4398992087894747,1.5066314465103336,1.8699997203151135,0.3650754901656112,0.3285424989819829,20789,23.748136033479245,51.85915628457357,74.38549232767329,84.22723555726587,0.066092645,0.2724517773822694,0.4556736735773726,0.205781904,2.0914213955238736,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_5,2692.233792785428,416.3781212268014,47.42789548090043,1015.9765238256869,2278.486210662779,72.60197138024861,926.5590285011764,0.6381514663111357,0.419956941,1.3092154965100058,1.6804548822683083,0.4186091428014546,0.359208565,184.8130081300813,6.121951219512195,123,50.3492424,0.8145695364238411,0.8060331922203241,0.6097181104676639,98095,23.472144349864926,59.853203527193024,100,100,0.1138794026199092,0.4653244303991029,0.2569346042102044,0.1638615627707834,1.6792566930761366,196.52066563048385,204.51382237591577,1.3979531446883795,64.70964304036102,2835.0672899831784,75.22889155947966,856.1310744227793,0.5432479947852373,0.4466035169714985,1.635513568631278,2.011148262284501,0.3370103908109143,0.3019292332479512,5889,34.79368314,71.93071828833418,100,100,0.1068093054848021,0.4431991849210392,0.2270334521990151,0.2229580573951435,2.127893610163336,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_7,9002.227701945045,423.7319447,185.10797185988804,3216.667625418632,2304.6952169894826,73.67464456287594,918.9022117934464,0.6324645608277064,0.4180404156203879,1.3149590245638254,1.7111802097272928,0.4222512510534381,0.3545432371679669,205.8,8.388888889,270,150.77564927611036,0.4927007299270073,0.8755197847414041,0.1492489256284482,326790,28.303497659047096,76.78080724624377,100,100,0.2109275069616573,0.4271734141191591,0.2835643685547293,0.07833471,1.4739074273317954,686.6066788,197.7553709,9.101249883,280.03842179490584,2393.082922685608,71.02986177,833.7447971458668,0.5639652330124406,0.4548588180209003,1.6045543470444354,1.892508930804396,0.3373743531431926,0.3226778445579086,22435,38.65388901270336,88.13906841987965,100,100,0.1660352128370849,0.407176287,0.329975485,0.096813015,3.368364706460041,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_8,4198.460071843113,426.72354643943976,98.36923362,1517.2493636194038,2274.478694005753,73.45474991773042,917.2147712689268,0.6297254408087251,0.4181909828040461,1.3211543824608247,1.7228702343929876,0.422239782,0.3536302105466764,234.2297297297297,4.635135135135135,148,59.21320343559643,0.8505747126436781,0.8001612482927658,0.5304378001893961,155191,18.67311893086584,73.25682546023931,100,100,0.0645656,0.3314882950686573,0.4627523503295938,0.1411937547924815,0.8212000190332712,321.8798617136485,257.6811587798794,7.963693746282363,148.9292893218903,2298.509782278351,68.36737582642091,903.2488073,0.5741930366879563,0.4462894702418707,1.5462825805186848,1.8776920701310773,0.3541737393376849,0.3360460553477146,12542,34.021687131239034,86.49338223568809,100,100,0.052304258,0.4143677244458619,0.4132514750438527,0.1200765428161377,2.124442615660951,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_9,7340.425253707307,410.8393914181146,169.44006689845193,2886.5843900712603,2225.530253186729,71.77489324235393,923.0378245,0.6268172958848098,0.4224517049510706,1.340806913,1.7231251414103543,0.4135265282037763,0.3537038857530533,60.40178571428572,9.816964285714286,224,76.87005768508881,0.7225806451612903,0.7655960995229358,0.4763689743912329,278174,15.400792309849232,40.886279810478335,100,100,0.1051895576150179,0.3798701532134563,0.4424532846347969,0.072487005,0.8259881588099297,809.5984140842266,176.12480604204782,19.63864480197808,344.38520387984926,2019.932737531807,70.15683771252894,726.3753993,0.5809575988858058,0.4437775428482032,1.5196760855035738,1.856776199628346,0.3597254676301482,0.3323052603771441,25827,34.32067216478878,61.96615944554149,100,100,0.1618461300189723,0.4441475974755101,0.3413094823246989,0.05269679,0.9603539506915412,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_11,9998.036077554962,403.2268000093309,204.57497313858264,3489.481675710748,2197.5842702242103,74.12806612,867.4617783450192,0.6431503588662367,0.4114940029456002,1.2728614646369996,1.6826390350870046,0.4346602856381082,0.3542098026112461,172.54654654654655,10.174174174174174,333,102.53300858899108,0.7302631578947368,0.7676377873013894,0.3980399799718941,344168,17.632667766904536,47.63574765812045,65.26521931149904,100,0.1113467841286813,0.3546640013016898,0.3776266242067827,0.15636259,0.2248755226626968,606.7535353189484,180.2395153,14.72288277,261.1382887019537,1980.9677905433928,69.91119382919034,722.0571556724275,0.5806000346828271,0.4419029116978525,1.5141885239861237,1.864535007619497,0.3598440075018582,0.3329974173330261,19314,30.521901211556383,65.20140830485659,85.08853681267475,100,0.091436264,0.3529564046805426,0.3897690794242518,0.1658382520451486,1.1124722987244915,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_12,3129.186206,421.1555119802929,57.24884621888249,1002.3829637399648,2287.8790940942363,75.73844409604966,874.0516974270913,0.6485815046173437,0.4076094071940545,1.2502871948986072,1.669406907831284,0.4408806904632174,0.3537991572052737,21.666666666666668,15.65277777777778,144,51.04163056034261,0.8674698795180723,0.7952884707981672,0.6945816035782738,104904,25.127735834667885,55.43067947838023,62.07389613360788,100,0.071179364,0.2533745138412263,0.4971879051323114,0.1782582170365286,1.4501549713400212,286.8172407861106,193.50123038830992,5.670540832392046,120.29440213049918,2074.434645223278,70.45174113206593,749.2843049372182,0.5931207451616055,0.4408059940679811,1.4785449141839704,1.8137284719958895,0.3632567225804872,0.3366520799394802,9058,42.85714285714285,76.25303599028483,81.12166041068669,100,0.048575845,0.1933097814086995,0.445904173,0.312210201,2.1635035384164247,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_13,3009.8507628328102,394.0253891578272,68.90988164048872,1113.2748347192926,2011.4058768344048,72.99925000149781,830.7302511599353,0.6546722921484056,0.4063281545396995,1.2347615571941202,1.6457789009588388,0.4452872688090979,0.357947314,247.7047619047619,10.857142857142858,105,47.00609665440987,0.8898305084745762,0.7835631107946972,0.5971601034434656,103161,21.039927879721983,78.19815627998953,100,100,0.068126521,0.2930855652814532,0.4362501332868041,0.2025377807504774,1.3965176779308293,220.0419115351608,313.0337724961163,2.469611231958879,91.56232559,2612.757155509993,70.61582780939263,988.7884512685748,0.5843866773293109,0.4441568309979757,1.5120501096212666,1.840669375384871,0.3618703070264087,0.3401190872307693,8263,46.14546774779136,90.58453346242284,100,100,0.046956311,0.4707733268788575,0.3636693694783977,0.1186009923756504,1.7474958129318758,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
