,image_name,standard_Decay,standard_IRF,standard_input_type,standard_imaging_modality,standard_Lifetime fit,standard_Lifetime fit free,standard_num_components,standard_fixed_t1,standard_fixed_t2,standard_fixed_t3,laser_rate,duration,time_bins,fit_free_calibration_method
0,Tcell_Act_filtered,/home/useradmin/Documents/flim_playground/example_data/Data_Extraction/T_cell_activation/Tcell_Act_filtered.csv,/home/useradmin/Documents/flim_playground/example_data/Data_Extraction/T_cell_activation/IRF.txt,Decay (2D),FLIM,True,True,2,,,,0.05,20.0,200,IRF
1,Tcell_Qui_filtered,/home/useradmin/Documents/flim_playground/example_data/Data_Extraction/T_cell_activation/Tcell_Qui_filtered.csv,/home/useradmin/Documents/flim_playground/example_data/Data_Extraction/T_cell_activation/IRF.txt,Decay (2D),FLIM,True,True,2,,,,0.05,20.0,200,IRF
2,Tcell_bckgrnd_filtered,/home/useradmin/Documents/flim_playground/example_data/Data_Extraction/T_cell_activation/Tcell_bckgrnd_filtered.csv,/home/useradmin/Documents/flim_playground/example_data/Data_Extraction/T_cell_activation/IRF.txt,Decay (2D),FLIM,True,True,2,,,,0.05,20.0,200,IRF
