cell_id,standard_amp1,Lifetime fit_standard: t1,standard_offset,standard_reduced_chi_square,standard_amp2,Lifetime fit_standard: t2,Lifetime fit_standard: a1,Lifetime fit_standard: tm,Lifetime fit free_standard: G(1st),Lifetime fit free_standard: S(1st),Lifetime fit free_standard: Tau_phase,Lifetime fit free_standard: Tau_m,Lifetime fit free_standard: G(2nd),Lifetime fit free_standard: S(2nd),Intensity texture_standard: intensity_sum,image_name
Tcell_Act_filtered_0,752.3815629902862,404.4869241490605,15.000657542751782,1.0939789455195401,306.8531702756156,4264.551645120148,71.03067331171195,1522.7216835465294,0.5004521002450424,0.4026367514186955,2.560949558504042,3.798223950918111,0.320335794274732,0.3126095117619102,19513,Tcell_Act_filtered
Tcell_Act_filtered_1,332.2030937302989,582.5894538902124,17.028317222282432,1.045818335313439,247.25923084679084,5152.995072861811,57.32954148015601,2532.802487722108,0.4087337481890376,0.43467674190827793,3.3851353076813493,4.281158361993939,0.23791351071971095,0.31382147518148074,18041,Tcell_Act_filtered
Tcell_Act_filtered_2,1036.5925923935915,478.1989582171528,15.847482767763175,1.3144379233140118,381.99854475651296,4258.836095663509,73.07197720662957,1496.249788323335,0.5318435756982439,0.391042603326816,2.340401054850666,3.6219951636519387,0.34917829453163796,0.3246865834003881,24923,Tcell_Act_filtered
Tcell_Act_filtered_3,46879.43878971255,99.20898991442465,11.142722168628483,6.014340267646194,206.04482471812932,4283.255958603624,99.56240265809869,117.51826823331128,0.9354683638570207,0.06597860509706475,0.22450403552312856,1.1784725782935777,0.9085261991588348,0.06505761835685435,84867,Tcell_Act_filtered
Tcell_Act_filtered_4,752.3263498848311,473.88463285947915,14.17083914534316,1.4468513121532705,314.5193876390863,4080.097252466775,70.51875668837876,1537.0409495802967,0.5271867087535618,0.393070853278452,2.373321187574121,3.6467120655747647,0.3324118027449561,0.32565542129032143,19649,Tcell_Act_filtered
Tcell_Act_filtered_5,747.6444003164848,416.59372367932644,17.260279017383944,1.3260143092665304,342.7246838646874,4016.1684067849724,68.56801161763852,1548.0116198875182,0.5240388584841169,0.4095203791264414,2.487494642033904,3.574136596789406,0.3281878093747095,0.3316484169328225,20762,Tcell_Act_filtered
Tcell_Act_filtered_6,585.9096847760578,456.98522508174483,11.504370558305967,1.1996386445417118,251.85237914739847,4041.855373361817,69.93748105901231,1534.687492418255,0.5394095358159828,0.4057337082752915,2.3942670999812283,3.479626729830612,0.33455243246977273,0.32765974931401814,15489,Tcell_Act_filtered
Tcell_Act_filtered_7,687.9946641905796,452.19875347769687,11.645535319675703,1.1010935172699994,260.1155470406819,4217.305549125633,72.56484067365086,1485.1618016709067,0.5282435216205106,0.39270612473552347,2.366375293818434,3.640561442971928,0.34632472527211083,0.32239006915063323,16768,Tcell_Act_filtered
Tcell_Act_filtered_8,2400.107961437016,598.6619477740916,41.05563795544687,1.2090320477660814,1018.5041908511315,4283.585845013156,70.20708563943336,1696.5081687305806,0.5372947901641656,0.4024027508914891,2.3839571159284416,3.514688776151361,0.3389062483142952,0.3321015091732141,67402,Tcell_Act_filtered
Tcell_Act_filtered_9,1827.4499652945874,527.9025852845022,25.375640057194207,1.5060162627612212,864.1355487621151,4079.4569958474563,67.89492497083224,1668.1317934974552,0.5439685271321549,0.41727000097231415,2.441706824798325,3.3800659562216757,0.3387415941555245,0.33739096590042317,50993,Tcell_Act_filtered
Tcell_Act_filtered_10,2400.764815861096,561.0992598225931,65.48145835498933,1.4829464461964779,1004.7084903774183,5168.253724835692,70.49724370069545,1920.3368139679362,0.4591801203882524,0.40357432581253694,2.7976319533927114,4.120619463187839,0.2973427385189412,0.30923283419860503,78848,Tcell_Act_filtered
Tcell_Act_filtered_11,1258.3506918956232,450.64288985745276,23.563256961522526,1.19037271510818,639.3703681418225,3987.8433876323456,66.30851700991259,1642.3781938905681,0.5270443846741518,0.4176649864313259,2.522499018296249,3.5033093189406115,0.318650518411621,0.3358673937907366,36621,Tcell_Act_filtered
Tcell_Act_filtered_12,2004.3459953472736,550.755960398913,27.584544821487725,1.4229483660136601,915.8832703493529,4210.252463301842,68.6365970950275,1698.4985928977371,0.5302222217152236,0.41162234627660504,2.4711046958794243,3.5150089781833587,0.3293109357792686,0.3314276031297959,56158,Tcell_Act_filtered
Tcell_Act_filtered_13,50877.321247400694,118.12379348382382,15.886745822000318,7.161751718458589,323.27379062392566,3443.7360880808505,99.36861321556157,139.12127001356902,0.9372844365063923,0.07433825246066621,0.2524591229537094,1.152903810716339,0.9058293672934669,0.08298123971839697,103508,Tcell_Act_filtered
Tcell_Act_filtered_14,531.2208525967798,550.1520356963813,18.728917720257737,1.2649069199876977,309.9643596903624,5336.810540405285,63.15147304508787,2313.9651850436358,0.41000060599252774,0.4196367785087829,3.2579106775295275,4.393743577447192,0.24669979201935627,0.30068157671499984,23145,Tcell_Act_filtered
Tcell_Act_filtered_15,632.9570378574642,511.3465069760581,14.743362920603147,1.1565727247910462,236.14687067159213,4363.535709140689,72.82869535459038,1558.0365706137845,0.5297386592788862,0.39026540580895075,2.345030605725876,3.643002791933966,0.3518096311116189,0.32322765245790924,16794,Tcell_Act_filtered
Tcell_Act_filtered_16,588.9770757821467,429.0333285507263,16.46846309849189,1.217909154388022,462.4456909624617,4237.3037865615115,56.017150703871884,2104.0191848865775,0.4582637024100225,0.43968178757140247,3.0540289144200363,3.871603284321851,0.24982587640272896,0.3288675598647524,25718,Tcell_Act_filtered
