image_name,NAD(P)H_Decay,NAD(P)H_IRF,NAD(P)H_input_type,NAD(P)H_imaging_modality,NAD(P)H_Lifetime fit,NAD(P)H_Lifetime fit free,NAD(P)H_num_components,NAD(P)H_fixed_t1,NAD(P)H_fixed_t2,NAD(P)H_fixed_t3,laser_rate,duration,time_bins,fit_free_calibration_method,NAD(P)H_shift,NAD(P)H_start,NAD(P)H_end,fitting_algo,fitting_mode
Tcell_Act_filtered,/Users/allan/GitHub/flim_playground/example_data/Data_Extraction/T_cell_activation/Tcell_Act_filtered.csv,/Users/allan/GitHub/flim_playground/example_data/Data_Extraction/T_cell_activation/IRF.txt,Decay (2D),FLIM,True,True,2,0.4,,,0.08,20.0,200,IRF,-3.3431046404261764,0,200,MLE,Local
Tcell_Qui_filtered,/Users/allan/GitHub/flim_playground/example_data/Data_Extraction/T_cell_activation/Tcell_Qui_filtered.csv,/Users/allan/GitHub/flim_playground/example_data/Data_Extraction/T_cell_activation/IRF.txt,Decay (2D),FLIM,True,True,2,0.4,,,0.08,20.0,200,IRF,-3.3431046404261764,0,200,MLE,Local
Tcell_bckgrnd_filtered,/Users/allan/GitHub/flim_playground/example_data/Data_Extraction/T_cell_activation/Tcell_bckgrnd_filtered.csv,/Users/allan/GitHub/flim_playground/example_data/Data_Extraction/T_cell_activation/IRF.txt,Decay (2D),FLIM,True,True,2,0.4,,,0.08,20.0,200,IRF,-3.3431046404261764,0,200,MLE,Local
