cell_id,NAD(P)H_amp1,Lifetime fit_NAD(P)H: t1,NAD(P)H_offset,NAD(P)H_amp2,Lifetime fit_NAD(P)H: t2,Lifetime fit_NAD(P)H: a1,Lifetime fit_NAD(P)H: tm,Lifetime fit free_NAD(P)H: G(1st),Lifetime fit free_NAD(P)H: S(1st),Lifetime fit free_NAD(P)H: Tau_phase,Lifetime fit free_NAD(P)H: Tau_m,Lifetime fit free_NAD(P)H: G(2nd),Lifetime fit free_NAD(P)H: S(2nd),Intensity texture_NAD(P)H: intensity_sum,image_name
Tcell_Act_filtered_0,772.8856998993168,400.0,15.112091248437043,304.6201993644683,4269.529857722342,71.72913859937078,1493.949422932649,0.3744745602614323,0.33617493990220876,1.7859658941753158,3.4162450829776234,0.23438382072947012,0.24755916130507089,19513,Tcell_Act_filtered
Tcell_Act_filtered_1,375.14258613978166,400.0,18.1466322710655,265.32441746852055,4843.9278861437815,58.573288557611924,2240.9731821006,0.28946021464075267,0.33753731327921704,2.319866823192676,4.007464368701456,0.16620214254458185,0.23175612881237861,18041,Tcell_Act_filtered
Tcell_Act_filtered_2,1116.0892657101979,400.0,16.908557926575973,404.99366227050024,4063.4551687800677,73.3746494145361,1375.4077822289912,0.40994132632974495,0.3414372765053177,1.6569880499174439,3.15394255141713,0.26165710842509976,0.26311817147436123,24923,Tcell_Act_filtered
Tcell_Act_filtered_3,17057.118371947385,400.0,12.845583671927674,74.32873681944359,7562.650056556039,99.5661269223345,431.0768102427893,0.9163208571935795,0.061016015364071245,0.1324727083412804,0.8573609398467372,0.9019317518655828,0.06105412582232526,84867,Tcell_Act_filtered
Tcell_Act_filtered_4,804.8820563271103,400.0,14.965456425097834,331.4657787325426,3909.531161134996,70.83060586680818,1423.7089766186502,0.39872104495817035,0.34993485180173,1.7460158589766055,3.178896630634982,0.2481786700511915,0.26161292244151024,19649,Tcell_Act_filtered
Tcell_Act_filtered_5,776.6967336398174,400.0,17.44747590037843,343.094938725605,3997.72194780965,69.36082423252363,1502.312351214474,0.38832464214577,0.3518380603324096,1.8025113652440872,3.233581883920723,0.23836051444003495,0.26204178796628536,20762,Tcell_Act_filtered
Tcell_Act_filtered_6,622.4202165240987,400.0,11.975329119395806,261.1213094192574,3919.770383896828,70.44606260690934,1440.2307356374158,0.3954636507450235,0.35517037997927964,1.7867356932500713,3.170236786954742,0.25392181258875307,0.26024790458513847,15489,Tcell_Act_filtered
Tcell_Act_filtered_7,729.3791074317348,400.0,12.156587864464719,269.1828427698764,4093.113735313602,73.0429501429002,1395.5545109078882,0.4050393746935941,0.3404571515220066,1.6722275030885634,3.190449550649407,0.2528408586863642,0.26803935054058514,16768,Tcell_Act_filtered
Tcell_Act_filtered_8,2664.0985150261945,400.0,47.647825058172444,1198.6930765506825,3800.610464603673,68.96821772200893,1455.2700354983922,0.40179225061940793,0.35550220924927484,1.760235973780202,3.1294338991709627,0.25268150211729634,0.27433041444602774,67402,Tcell_Act_filtered
Tcell_Act_filtered_9,2005.3435794489365,400.0,28.01316168365986,943.078061951518,3830.4103942189345,68.01413852383845,1497.2463167587157,0.39716433067478185,0.3596887259773664,1.80171764847509,3.134811469956257,0.24492910732351295,0.27212665121625745,50993,Tcell_Act_filtered
