cell_id,standard_amp1,Lifetime fit_standard: t1,standard_offset,standard_reduced_chi_square,standard_amp2,Lifetime fit_standard: t2,Lifetime fit_standard: a1,Lifetime fit_standard: tm,Lifetime fit free_standard: G(1st),Lifetime fit free_standard: S(1st),Lifetime fit free_standard: Tau_phase,Lifetime fit free_standard: Tau_m,Lifetime fit free_standard: G(2nd),Lifetime fit free_standard: S(2nd),Intensity texture_standard: intensity_sum,image_name,cell_type
Tcell_Act_filtered_4,752.3263498848311,473.8846328594792,14.17083914534316,1.4468513121532705,314.5193876390863,4080.097252466775,70.51875668837876,1537.040949580297,0.5271867087535618,0.393070853278452,2.373321187574121,3.6467120655747647,0.3324118027449561,0.3256554212903214,19649,Tcell_Act_filtered,Act
Tcell_Act_filtered_5,747.6444003164848,416.5937236793264,17.260279017383944,1.3260143092665304,342.7246838646874,4016.168406784973,68.56801161763852,1548.0116198875182,0.5240388584841169,0.4095203791264414,2.487494642033904,3.574136596789406,0.3281878093747095,0.3316484169328225,20762,Tcell_Act_filtered,Act
Tcell_Act_filtered_6,585.9096847760578,456.9852250817448,11.504370558305968,1.1996386445417118,251.85237914739847,4041.855373361817,69.93748105901231,1534.687492418255,0.5394095358159828,0.4057337082752915,2.3942670999812283,3.479626729830612,0.3345524324697727,0.3276597493140181,15489,Tcell_Act_filtered,Act
Tcell_Act_filtered_7,687.9946641905796,452.19875347769687,11.645535319675703,1.1010935172699994,260.1155470406819,4217.305549125633,72.56484067365086,1485.1618016709067,0.5282435216205106,0.3927061247355234,2.366375293818434,3.640561442971928,0.3463247252721108,0.3223900691506332,16768,Tcell_Act_filtered,Act
Tcell_Act_filtered_8,2400.107961437016,598.6619477740916,41.05563795544687,1.2090320477660814,1018.5041908511316,4283.585845013156,70.20708563943336,1696.5081687305806,0.5372947901641656,0.4024027508914891,2.3839571159284416,3.514688776151361,0.3389062483142952,0.3321015091732141,67402,Tcell_Act_filtered,Act
Tcell_Act_filtered_9,1827.4499652945876,527.9025852845022,25.375640057194207,1.5060162627612212,864.1355487621151,4079.456995847456,67.89492497083224,1668.1317934974552,0.5439685271321549,0.4172700009723141,2.441706824798325,3.380065956221676,0.3387415941555245,0.3373909659004231,50993,Tcell_Act_filtered,Act
Tcell_Act_filtered_10,2400.764815861096,561.0992598225931,65.48145835498933,1.482946446196478,1004.7084903774185,5168.253724835692,70.49724370069545,1920.336813967936,0.4591801203882524,0.4035743258125369,2.7976319533927114,4.120619463187839,0.2973427385189412,0.309232834198605,78848,Tcell_Act_filtered,Act
Tcell_Act_filtered_11,1258.3506918956232,450.6428898574528,23.563256961522526,1.19037271510818,639.3703681418225,3987.8433876323456,66.30851700991259,1642.378193890568,0.5270443846741518,0.4176649864313259,2.522499018296249,3.5033093189406115,0.318650518411621,0.3358673937907366,36621,Tcell_Act_filtered,Act
Tcell_Act_filtered_12,2004.3459953472736,550.755960398913,27.584544821487725,1.42294836601366,915.8832703493528,4210.252463301842,68.6365970950275,1698.4985928977371,0.5302222217152236,0.411622346276605,2.4711046958794243,3.5150089781833587,0.3293109357792686,0.3314276031297959,56158,Tcell_Act_filtered,Act
Tcell_Act_filtered_13,50877.32124740069,118.12379348382382,15.886745822000318,7.161751718458589,323.27379062392566,3443.7360880808505,99.36861321556157,139.12127001356902,0.9372844365063924,0.0743382524606662,0.2524591229537094,1.152903810716339,0.9058293672934667,0.0829812397183969,103508,Tcell_Act_filtered,Act
Tcell_Act_filtered_14,531.2208525967798,550.1520356963813,18.728917720257737,1.2649069199876977,309.9643596903624,5336.810540405285,63.15147304508787,2313.965185043636,0.4100006059925277,0.4196367785087829,3.2579106775295275,4.393743577447192,0.2466997920193562,0.3006815767149998,23145,Tcell_Act_filtered,Act
Tcell_Act_filtered_15,632.9570378574642,511.3465069760581,14.743362920603149,1.1565727247910462,236.14687067159213,4363.535709140689,72.82869535459038,1558.0365706137843,0.5297386592788862,0.3902654058089507,2.345030605725876,3.643002791933966,0.3518096311116189,0.3232276524579092,16794,Tcell_Act_filtered,Act
Tcell_Act_filtered_16,588.9770757821467,429.0333285507263,16.46846309849189,1.217909154388022,462.4456909624617,4237.303786561512,56.01715070387189,2104.019184886577,0.4582637024100225,0.4396817875714024,3.0540289144200363,3.871603284321851,0.2498258764027289,0.3288675598647524,25718,Tcell_Act_filtered,Act
Tcell_Act_filtered_17,728.8198662088319,493.4141437454672,12.491564864349323,0.9394294239646548,331.0202047570846,4252.896972783418,68.76696646736524,1667.614676392536,0.5214310207012687,0.4117671687269781,2.513650999041669,3.580527308974203,0.32867254219203,0.3289513829440496,20543,Tcell_Act_filtered,Act
Tcell_Act_filtered_18,671.4078527265797,385.8233559100963,15.16095907342386,1.0106201841440885,351.99035479857355,4233.086650116439,65.60572881500555,1709.061526520177,0.4849240257335893,0.4215831488662362,2.7673218279834244,3.79575664623112,0.2799312824631044,0.3241882161397615,20871,Tcell_Act_filtered,Act
Tcell_Act_filtered_19,625.4875352912564,512.7561628664369,14.397264741988147,1.2601974131229432,272.08347879580214,4109.063430862053,69.6866905765061,1602.9159128335482,0.5228093570917226,0.3965567197611186,2.4144159361408177,3.6604416403829,0.329890793036974,0.322229421063782,17609,Tcell_Act_filtered,Act
Tcell_Act_filtered_20,864.4331710319527,447.57064722610943,19.28254409811395,1.3273216108534729,382.6274651038923,4313.316984592418,69.31765352729714,1633.6723322126606,0.4953729513510854,0.4025805192225807,2.586846110673706,3.838500353092965,0.3178771739353208,0.3202388059766848,24655,Tcell_Act_filtered,Act
Tcell_Act_filtered_21,992.7907639066768,518.8769187273374,27.85747995491976,1.2314903853039123,851.7018761079976,4359.276264689464,53.824598828368245,2292.196723318072,0.4504236100288833,0.4424395952643237,3.1266766234291863,3.909598783628552,0.2455669522194248,0.3344433149029084,48285,Tcell_Act_filtered,Act
Tcell_Act_filtered_22,1126.727411674791,505.9141592620114,20.70898280258523,1.0767375962845698,415.3216086379905,4510.541309460701,73.06689974396866,1584.4844045052755,0.5258658196865371,0.4002392636078367,2.422673421163531,3.614973899781903,0.3396351338080245,0.31652401081072,29071,Tcell_Act_filtered,Act
